index,sentiment,text
31,Negative,"RT @monaeltahawy: #WhereRWomen I'm in #Cairo, where I often rail vs misogyny in politics. And here are men, men, men #GOPDebates http://t.c…"
32,Negative,The Democrats love to keep people poor and confused in order to make them slaves to their party. Liberals are for chaos. #GOPDebate #Trump
33,Negative,RT @AnisaLiban: #GOPDebates proved that Women in the US are more likely to be assaulted by men (verbally &amp; physically) than any kind of 'te…
34,Negative,RT @rickbot5000: Is @BretBaier an Oompa Loompa? #GOPDebate #orangish
35,Negative,RT @JohnFugelsang: If you're just tuning into #gopdebate there's no money for struggling Americans and unlimited money for war.
36,Negative,"MT What I learned last night talking heads have lots in common with politicians, talk, ego, out of touch #GOPDebate  https://t.co/FE54H9CkAy"
37,Negative,Dr. King says his dream became a nightmare... https://t.co/FswFvAwKH0  #JusticeOrElse #GOPDebate
38,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
39,Negative,My takeaway from last night's #GOPDebate is basically this and only this. #RandPaul @ Cleveland Sucks https://t.co/i3eeMyV9XD
40,Negative,"RT @beethetranny: hey all you stupid #democrats making fun of the #GOPDebate debate, go google @HillaryClinton's selfie with kim kardashian…"
41,Positive,"RT @SalMasekela: Ben Carson, solidifying the black vote. #GOPDebates"
42,Negative,Hearing the candidates talk about God is actually terrifying. #GOPDebates
43,Negative,Rubio claiming God made a mistake in making Democrats. #GOPdebates
44,Positive,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
45,Negative,Funny all of um had middle-class up bringing-save for u know who. #GOPDebates
46,Positive,"RT @metzgr: .@JebBush has a distinct @LeoMcGarry-ness to him in this pic from @nytimes, so... #Winner #GOPDebate http://t.co/KoLwWwgdP1"
47,Negative,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead 🇺🇸 #GOPD…
48,Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
49,Negative,None of these candidates seem to realize the IRS doesn't make the tax laws. They just collect the money. #GOPDebates
50,Negative,It's scary to think just how close he could get to that finish line :(  #NotMyCandidate #DumpTrump #GOPDebate  https://t.co/N8jAFQCEgG
51,Negative,RT @linnyitssn: Kasich said yesterday that he wants to love and respect everybody which pretty much means his career in the GOP is over. #G…
52,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
53,Negative,They better turn up the lights because there's an awful lot of shade being thrown on this stage. #GOPDebates #Republicandebate
54,Positive,"@slone @instapundit There are actually people angry that the candidates were asked real questions?  Seriously?
#GOPDebate"
55,Positive,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
56,Positive,"'President Donald Trump'. I like the way that sound. 
@realDonaldTrump 
#GOPDebate"
57,Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
58,Positive,"Trump &amp; co drew NBA Finals type viewership for #GOPdebate, MURICA wins again."
59,Negative,RT @monaeltahawy: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates
60,Positive,RT @carljacksonshow: #BenCarson great close! He operates on brains so he doesn't worry about skin color. #GOPDebate
61,Negative,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
62,Positive,RT @johncardillo: Dr. Carson's POV on race was class and brilliance personified. #GOPDebate
63,Positive,"RT @He_Has_Failed: 200,000 votes over at Drudge and Trump is absolutely dominating the #GOPDebate 
#tcot http://t.co/kU0ul7HZQY"
64,Negative,"That wasn't a #GOPDebate that was the 1st episode of #FoxNews new reality show ""Who's Afraid Of A Billionaire,"" The World laughs at us."
65,Negative,File this under: Subjects Overlooked in the #GOPDebate http://t.co/L4X9stUjVM
66,Negative,RT @ullikemike: #Trump was spot on in his description of business bankruptcies. Playing by same rules as all businesses. #GOPDebate  https:…
67,Negative,"I miss the days when conservatives wanted a @GOP Presidential candidate who was, you know, a conservative... #Trump #GOPDebate #tcot"
68,Negative,So @realDonaldTrump attacks anyone that doesn't agree with him??? Isn't that what Obama does. #GOPDebate #tcot
69,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
70,Negative,"RT @Timcast: Trump's flaunting of wealth has literally nothing to do with having good ideas and being a good leader, its just gross. #GOPDe…"
71,Negative,RT @1Marchella: This is straight up #fascism. #GOPdebate https://t.co/OL2kRvNQuu
72,Negative,"TruthTeamOne: The big winner of the #GOPDebate wasn't Scott Walker, it was Johnny Walker. http://t.co/LOdMCzBPe2 http://t.co/AuhlNZa3Ww"
73,Negative,It's Huge... It's a F#&amp;king #Juggernaut #DonaldTrump #GOPDebate  https://t.co/F30T6FbE6P
74,Negative,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
75,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
76,Negative,RT @MaryFolley: Huckabee tax plan gonna make it hard out here for the pimps. And the hos. And the drug dealers. #GOPDebates
77,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
78,Negative,"Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates"
79,Negative,"What ought to depress every patriotic American: The men on stage at the #GOPDebate were the best candidates billionaires could buy.
#p2"
80,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
81,Negative,"RT @SaintPetersblog: “I made a lot of money in Atlantic City,” is exactly what you want to hear come out of the mouth of a presidential can…"
82,Negative,Am I crazy or did the #GOPDebate turn into an tent revival at the end?
83,Negative,RT @LadiesForTrump: Replace #MegynKelly w/#RosieODonnell 4 Next #FoxNewsDebate... #TrumpIsRight #GOPDebates #TrumpTrain2016 #ActOfLove http…
84,Negative,"It's just hilarious watching the usual #GOP shills trying to undermine #Trump this morning. Ahahahahaha!

#GOPDebate 
#GOPClownCar"
85,Negative,"RT @Seductivpancake: ""repeal Obamacare"" is like playing a mana card in Magic: The Gathering for GOP candidates. It's an essential play. #GO…"
86,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
87,Negative,RT @pittgriffin: Ben Carson says the most important thing is a brain. Half the GOP field disqualified. #GOPDebate
88,Negative,"I want one of these white, and basically white men to just say-I'm rich,hella rich,I hate gays, blks and poor people VOTE FOR ME #GOPDebates"
89,Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
90,Negative,Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates
91,Negative,Clown show. #GOPDebate http://t.co/uyWu9jQcEx
92,Negative,RT @JohnGGalt: Looks like Fox News needs to be taken out back. #GOPDebate #MakeAmericaGreatAgain
93,Positive,"RT @JHoganGidley: VIDEO: @GovMikeHuckabee Crushes Frank Luntz @FoxNews focus group: http://t.co/zTrUVoFwGG 
cc: @FrankLuntz #Huckabee2016 #…"
94,Negative,"Trump being told about his company's bankruptcies.

#GOPdebates http://t.co/mXK2E4f7os"
95,Positive,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates
96,Negative,"So many pouty, screechy faces at once #GOPDebate http://t.co/o5AJvLqJN7"
97,Negative,RT @naheitzeg: Beware #scottwalker #Koch extremist. Scott Walker Gets Schooled by His Neighbor @GovMarkDayton http://t.co/frkBjl5k1h #GOPDe…
98,Positive,"RT @kwrcrow: Dr. Carson remark on DC having half a brain, best line #GOPDebates."
99,Negative,John Kasich seems like a decent guy. Pity he's a republican. #GOPDebate
100,Negative,"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage."
101,Negative,"Unlike #GOPDebate we'll talk race, activism #BlackLivesMatter #fergusonsyllabus #takeitdown #BTWAM on #UmichChat @ 1 http://t.co/XSrG0cT63g"
102,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
103,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
104,Negative,Ted Cruz couldn't be president of his own tree fort #GOPDebates
105,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
106,Negative,"RT @JackeeHarry: .@RandPaul is talking about Hyundais, @GovMikeHuckabee about Buicks. I'll vote for whoever mentions a Four Door Aventador.…"
107,Positive,"@wkdental Only Kasich came across as a sensible, decent and rational human being. Out of all of them! #GOPDebates"
108,Negative,"RT @SalMasekela: Senator Cruz, any word from God? Just spit out my tequila. Damn you Megyn Kelly, it was the expensive kind. #GOPDebates"
109,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
110,Negative,"Yeah, how dare that birch stand up for women's issues?  So much respect for @megynkelly now. #GOPDebate  https://t.co/k7E0ttVsKO"
111,Positive,I really think a @RandPaul @CarlyFiorina alliance is in order! This would be a political powerhouse! #FOXNEWSDEBATE #GOPDebate #2016election
112,Negative,RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…
113,Negative,You know. Huckabee- I can see it. It's like this country is overflowing with pimps... 😒#GOPDebates
114,Negative,That dude pics was totally taken off of his tinder profile #GOPDebates
115,Negative,"I was watching a great show about the male psyche &amp; how it created a violent, greedy, cruel society; then I realized it was the #GOPDebate."
116,Negative,"RT @SupermanHotMale: Translation, Jeb Bush, I fucked Florida schools so badly they still have not recovered. That is the truth, I live here…"
117,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
118,Negative,"Boy, it'll be so awesome when President Trump calls Angel Merkel a ""bimbo"". He's so cool. #GOPDebate #Trump2016"
119,Negative,"A very cool #dataviz shared by @kennethsilber about the #GOPDebate last night
http://t.co/FACtlsxf4g http://t.co/PSYNbUelhy"
120,Negative,My favorite part of the #GOPDebates is when the candidates pretend not to be the people they are
121,Positive,.@PFTCommenter's national recognition (&amp; hair) is the best thing to come out of the #GOPDebate http://t.co/kCjlyXBxvQ http://t.co/qM68cVQMvE
122,Positive,This lady is the BOMB: https://t.co/EUbFIOxQZC @CarlyFiorina #GOPDebate
123,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
124,Negative,Not 1 mention of #ClimateChange or #SeaLevelRise @ #GOPDebate last night. They were too busy saying nasty things about @POTUS &amp; #Hillary2016
125,Negative,"RT @Reenit: Be back after 3 advil and a late dinner. #GOPDebate
Footnote @MeganKelly needs a new job! Is CNN hiring. She is way too full of…"
126,Negative,"#TPFA @TPFA_KathyA_1&lt;=Declined 2 comment
Can't locate ""Proe""
$100 says ants didn't watch #GOPDebate @realDonaldTrump http://t.co/2VgoCBDpyX"
127,Negative,RT @ObeyDlaw: @GroverNorquist @ChrisChristie No. He got his nose rubbed in dog shit for standing on the back of terror victims. #GOPdebate …
128,Negative,Can't Believe the comments trashing @RandPaul 's hair style when @realDonaldTrump is on stage of all people #GOPDebate
129,Negative,RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates
130,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
131,Positive,Camille Paglia straight calling it in @THR guest column on #GOPDebate. So good. http://t.co/IAPhTO0Gzt
132,Positive,RT @AmyMek: Thank you @seanhannity for being One of the Only True Conservatives at @FoxNews! Patriots appreciate you &amp; America needs you! #…
133,Positive,If you are one to complain about America's corrupt 2 party system - you better not complain about Trump's threat last night #Vote #GOPDebate
134,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
135,Negative,"RT @jennifernvictor: Wait a sec. Social Security wasn't robbed to pay for Obamacare, it was robbed to pay for Iraq war (and a bunch of othe…"
136,Negative,RT @deedeececil: @CharlesMBlow It's a repeat of 2012. The GOP audiences are more disturbing to me than the candidates. #GOPDebate
137,Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
138,Negative,...But I don't take either party seriously. GOP and Dems are on the same racist team #GOPDebate
139,Negative,"On Russia, @ScottWalker endorses sending arms to Ukraine. #LZDebates #GOPdebates"
140,Negative,"RT @2AFight: Jeb ""there is no establishment"" Bush for retirement!

#GOPDebate #tcot #PJNET #ycot #RedNationRising #ccot #teaparty http://t.…"
141,Positive,Dayum! Carson just kicked that question in its throat. #GOPDebates
142,Negative,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"
143,Negative,“@RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸”ME!
144,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
145,Negative,The #GOPDEBATES Made my Vagina Hurt!!!
146,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
147,Positive,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…"
148,Positive,Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate
149,Negative,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …"
150,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
151,Positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
152,Negative,RT @ThatTexasBoy26: 😄 that's messed up. @JebBush getting no love on @Snapchat #GOPDebate http://t.co/0jX8Yeb00F
153,Negative,RT @Kerryepp: A debate should be between 2 candidates. Not between a candidate and a moderator. The moderators should be time keepers only.…
154,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
155,Negative,"Was SO disappointed in the @FoxNews #GOPDebate moderators last night. Come to find out they talked 37% of the time. Some ""moderators""."
156,Negative,You can't just teach based on the whims of parents!!!!!!! #gopdebates
157,Negative,Tough to watch the #GOPDebate and not sense that @FoxNews' line of questioning was trying to depose @realDonaldTrump and anoint Jeb.
158,Positive,#Kasich I LOVE YOU!!!!!!! RT %#GOPDebates #Gaymarriage
159,Negative,"Ted Cruz, born in Canada. Nobody say shit. This stuff is comical. #GOPDebate"
160,Negative,YALL BETTER NOT LIE ABOUT GOD. S/he didn't talk to all of yall. #GOPDebates
161,Negative,RT @deray: Ben Carson essentially just said race doesn't matter. #GOPDebate
162,Negative,RT @Lisa_Luerssen: The worst debate in the history of Republican debates!! Thank You Senator Ted Cruz for what time you had to debate! #GOP…
163,Negative,RT @PamelaGeller: Jim Gilmore is clueless on #ISIS. It's not a state? They already rule an area larger than the United Kingdom.  #GOPdebates
164,Negative,Walker Emerges as Leading Candidate to Run Enterprise Rent-A-Car Branch http://t.co/X6QA8MUTa7 #GOPDebates
165,Positive,"""God gives me unconditional love, I'm going to give it to my family, my friends, and the people around me."" ~ Kasich #GOPDebate"
166,Positive,"RT @YaakovSchapiro: Thank you @FoxNews @BretBaier @megynkelly Chris Wallace, &amp; team, you guys put in tremendous amount of work for tonight'…"
167,Negative,"It's very interesting that every one of the GOP candidates hates the govt., &amp; yet they're applying for a job to join it. #GOPDebate"
168,Negative,RT @ikariusrising: Please leave #Jesus out of the #GOPDebates
169,Negative,"So many mentions of fetuses, almost no mentions for the people who carry them. #GOPDebate #AntiChoice"
170,Negative,"RT @Braun23Austin: Enough #GOPDebate! 3,000 light-years away, a dying star known as the Cat Eye Nebula throws off shells of glowing gas! ht…"
171,Positive,@JohnKasich Good for you! #gopdebates #gaymarriage #equality
172,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
173,Negative,@BenCarson2016 no such thing as a politically correct war. Amen. #FOXNEWSDEBATE #GOPDebate #smartman
174,Negative,"After that hilarious #GOPDebate I think the only real candidates are 
@HillaryClinton and @BernieSanders http://t.co/c6ulr4O8hE"
175,Positive,proud of the @GOP field after #GOPDebate Took tough questions and most cases knocked them out of the park. @JohnKasich @marcorubio my favs
176,Negative,RT @alexandraheuser: BREAKING: Rick SANTORUM WINS #GOP2016 Straw Poll by WIDE margin 34% to TRUMP 17% Sure seems #FoxNews based debate on b…
177,Negative,There were quite a few Social liberals on last night’s #GOPDebate stage …jus saying @Varneyco
178,Positive,"""[Obama's] Leading from behind has been a disaster."" -@SenTedCruz #GOPdebates 🇺🇸"
179,Negative,RT @b140_tweet: Does this remind  you of #Trump's lips #GOPDebates http://t.co/Ph9L6DrInF
180,Negative,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…"
181,Negative,"RT @jennifernvictor: .@RandPaul ""We're borrowing a billion dollars a minute.""  I'm pretty sure that's not right. #factcheck #GOPDebate"
182,Negative,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates
183,Positive,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates 🇺🇸
184,Negative,Big man child Donald Trump is mad at Megyn Kelly for calling out his garbage. #GOPDebate http://t.co/ck0vDCwBZW
185,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
186,Negative,RT @DianeRavitch: #GOPDebate Megan should have asked Scott Walker if he would let his own wife die to save unborn child.
187,Positive,"Watching the #GOPdebates Interesting so far! Must say though I disagree with Trump on many issues, he is the most entertaining of the bunch."
188,Positive,So who won the #GOPDebate last night? I think #Rubio and #Cruz commanded the stage. #Trump did more harm than good for himself
189,Negative,"Hey #GopDebates, Ronald Reagan has no relationship to you assholes, he pardoned millions of mexican americans #BOOM"
190,Negative,RT @mette_mariek: Donald Trump is @eddiepepitone's best character ever. #GOPDebates
191,Negative,Donald Trump got a few things wrong at the #GOPDebate http://t.co/bm2lUGqqJz @jamesaking41 @vocativ http://t.co/K3sfGctrBU
192,Negative,"RT @marcorubio: This election better be about the future, not the past. #GOPDebate"
193,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
194,Positive,"RT @sewellchan: ""Hooray for Fox News."" @FrankBruni's take on the #GOPDebate: http://t.co/c4jRx2mnJd"
195,Negative,RT @shannonrwatts: Here’s how U.S. gun violence compares with rest of the world: 60% of U.S. homicides use a gun http://t.co/zt2tMgfDPG #GO…
196,Positive,Say what you want but if the gop ratings are through the roof you can single handedly thank @realDonaldTrump for it #GOPDebate
197,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
198,Negative,Well that's unfortunate. #GOPdebates  https://t.co/P9jGpHxC3Q
199,Negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
200,Negative,Honestly I can't stand seeing Christie on my feed/news etc but if the worst thing u can say abt him is he's fat? Educate yourself #GOPDebate
201,Negative,"I just want to hear the conversation between God and these Republicans, where they explain why they don't want to help the poor. #GOPDebates"
202,Negative,RT @TheBaxterBean: WHY IS IT TAKING SO LONG FOR TED CRUZ TO RENOUNCE HIS CANADIAN CITIZENSHIP? http://t.co/6d6xVAfpf1 #GOPDebate http://t.c…
203,Negative,RT @lucyamorris: If GOP is so against all abortion (even in case of rape/incest) where is the support after the birth? Pro-birth =/= pro-li…
204,Negative,"Before we give @megynkelly credit for bad-ass questions, let's be real: It was all pre-written by FOX to frame the debate. #GOPDebate"
205,Positive,"RT @kesgardner: Huckabee: Reagan was ""trust but verify."" Obama, trust and vilify anyone who disagrees. Very strong answer about the Iran de…"
206,Negative,"RT @RadioFreeTom: Look, Trumpkins, your hero didn't even win the steak knives last night, know what I'm sayin' here? #GOPDebate"
207,Negative,RT @lala_houston: #Trump should have been asked the question on policing of America and the civil rights movement of our time. Not Walker. …
208,Positive,. @seanhannity  THANK YOU for being fair to the GOP front runner @realDonaldTrump This is why I LOVE #Hannity #FoxNews #GOPDebate #Respect
209,Negative,"#GOPDebate #FoxDebate #DonaldTrump #MegynKelly 
To start debate with a loaded sexist question was unfair &amp; disgusting http://t.co/dAEJOOo1De"
210,Negative,RT @PamelaGeller: Now we know Rand's strategy - he's going after Trump. He's got nothing to lose - he is nowhere anyway #GOPDebate
211,Positive,Would love to have seen it!   Seemed better than all these guys! #GOPdebates https://t.co/aawvUQqQRB
212,Negative,RT @jsc1835: Chris Christie - You want to increase our military troops?  While the GOP in Congress vote AGAINST veterans...  #GOPDebates
213,Negative,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"
214,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
215,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
216,Negative,#GOPDebate Turns Spectacle and Leaves @realDonaldTrump on Top http://t.co/CdTY790RbB #TNTweeters #AINF #tlot #tcot #p2 #Latism
217,Negative,RT @JamesViser: Huh. Half of Clinton's charity went to...the Clintons! http://t.co/BVwRoSgWAL #copolitics #Hillary2016 #StopHillary #UniteB…
218,Negative,"RT @DebbyRevere: @realDonaldTrump @smartvalueblog #trump said he wasn't preparing &amp; true enuff you could tell. #GOPDebate take run serious,…"
219,Negative,"RT @AvidHeather: If Walker, Paul or Huckabee had to meet with Putin or command our armies they'd shit their pants. Not president material. …"
220,Negative,"""Russia knows more about Hillary's emails than we do!"" Zinger point for @ScottWalker #GOPDebates #"
221,Negative,Dr. King says his dream became a nightmare... https://t.co/YBo1Weii6U  #JusticeOrElse #GOPDebate
222,Negative,I wish I could bitch slap shit out a Donald Trump him and Ted Cruz.And some other candidates were annoying.#GOPDebate
223,Negative,"Our problem is not being too ""politically correct,"" @GOP. It's that too many Americans are anti-intellectual and ignorant. #GOPDebate #USA"
224,Negative,#GOPDebate @JohnKasich your country doesn't make your top 3? #unpatriotic
225,Negative,RT @SupermanHotMale: NO MORE BUSHS... FUCK YOU JEB #GopDebates
226,Negative,"@BernieSanders gained over 10,000 followers in 2 hours simply for live tweeting the #GOPDebate. Hmm...he must have something to say. #Bernie"
227,Negative,"@realDonaldTrump's arrogance at the #GOPDebate: ""I’ve used the laws of the country to my advantage."" #NotThatGuy http://t.co/Rjtjr9iOAC"
228,Negative,"RT @missumuggins: #GOPDebate 

HEY ALL OF YOU ON THAT STAGE..
THEY HAVE NAMES 

#AmirHekmati 

#SaeedAbedini 

#JasonRezaian 

#RobertLevin…"
